Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 10:27:30 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 44/1000 | time=1.385s | train_loss=1.257 | train_corr=(0.581, 0.225) | val_loss=1.2431 | val_corr=(0.568, 0.215) | test_loss=1.2398 | test_corr=(0.568, 0.221)
Epoch 45/1000 | time=1.399s | train_loss=1.1988 | train_corr=(0.584, 0.22) | val_loss=1.2584 | val_corr=(0.569, 0.216) | test_loss=1.2552 | test_corr=(0.569, 0.222)
Epoch 46/1000 | time=1.384s | train_loss=1.2321 | train_corr=(0.565, 0.195) | val_loss=1.2501 | val_corr=(0.569, 0.216) | test_loss=1.2469 | test_corr=(0.57, 0.222)
Epoch 47/1000 | time=1.382s | train_loss=1.2531 | train_corr=(0.569, 0.231) | val_loss=1.2468 | val_corr=(0.569, 0.218) | test_loss=1.2437 | test_corr=(0.57, 0.223)
Epoch 48/1000 | time=1.393s | train_loss=1.2478 | train_corr=(0.571, 0.221) | val_loss=1.2358 | val_corr=(0.569, 0.218) | test_loss=1.2326 | test_corr=(0.57, 0.223)
Epoch 49/1000 | time=1.401s | train_loss=1.228 | train_corr=(0.578, 0.218) | val_loss=1.2449 | val_corr=(0.57, 0.218) | test_loss=1.2416 | test_corr=(0.57, 0.224)
Epoch 50/1000 | time=1.392s | train_loss=1.2702 | train_corr=(0.564, 0.209) | val_loss=1.2681 | val_corr=(0.569, 0.218) | test_loss=1.2648 | test_corr=(0.57, 0.224)
Epoch 51/1000 | time=1.406s | train_loss=1.2547 | train_corr=(0.56, 0.208) | val_loss=1.2235 | val_corr=(0.571, 0.22) | test_loss=1.2203 | test_corr=(0.571, 0.225)
Epoch 52/1000 | time=1.395s | train_loss=1.2581 | train_corr=(0.557, 0.209) | val_loss=1.2415 | val_corr=(0.57, 0.221) | test_loss=1.2383 | test_corr=(0.57, 0.226)
Epoch 53/1000 | time=1.406s | train_loss=1.2452 | train_corr=(0.564, 0.226) | val_loss=1.2468 | val_corr=(0.571, 0.221) | test_loss=1.2435 | test_corr=(0.571, 0.226)
Epoch 54/1000 | time=1.409s | train_loss=1.2255 | train_corr=(0.56, 0.221) | val_loss=1.2449 | val_corr=(0.571, 0.221) | test_loss=1.2418 | test_corr=(0.571, 0.226)
Epoch 55/1000 | time=1.399s | train_loss=1.2552 | train_corr=(0.564, 0.209) | val_loss=1.2212 | val_corr=(0.572, 0.223) | test_loss=1.2182 | test_corr=(0.572, 0.227)
Epoch 56/1000 | time=1.393s | train_loss=1.2445 | train_corr=(0.564, 0.214) | val_loss=1.2576 | val_corr=(0.571, 0.222) | test_loss=1.2545 | test_corr=(0.571, 0.226)
Epoch 57/1000 | time=1.383s | train_loss=1.2266 | train_corr=(0.58, 0.236) | val_loss=1.2283 | val_corr=(0.572, 0.221) | test_loss=1.2252 | test_corr=(0.572, 0.226)
Epoch 58/1000 | time=1.386s | train_loss=1.2233 | train_corr=(0.565, 0.213) | val_loss=1.2336 | val_corr=(0.574, 0.223) | test_loss=1.2308 | test_corr=(0.573, 0.228)
Epoch 59/1000 | time=1.403s | train_loss=1.2426 | train_corr=(0.569, 0.224) | val_loss=1.214 | val_corr=(0.573, 0.225) | test_loss=1.211 | test_corr=(0.573, 0.229)
Epoch 60/1000 | time=1.399s | train_loss=1.2579 | train_corr=(0.57, 0.217) | val_loss=1.2223 | val_corr=(0.573, 0.225) | test_loss=1.2193 | test_corr=(0.573, 0.229)
Epoch 61/1000 | time=1.401s | train_loss=1.2464 | train_corr=(0.574, 0.236) | val_loss=1.2157 | val_corr=(0.573, 0.224) | test_loss=1.2126 | test_corr=(0.573, 0.229)
Epoch 62/1000 | time=1.393s | train_loss=1.2292 | train_corr=(0.574, 0.227) | val_loss=1.2145 | val_corr=(0.573, 0.225) | test_loss=1.2114 | test_corr=(0.573, 0.23)
Epoch 63/1000 | time=1.381s | train_loss=1.1921 | train_corr=(0.58, 0.226) | val_loss=1.2446 | val_corr=(0.573, 0.226) | test_loss=1.2414 | test_corr=(0.572, 0.23)
Epoch 64/1000 | time=1.406s | train_loss=1.2115 | train_corr=(0.588, 0.234) | val_loss=1.2383 | val_corr=(0.574, 0.228) | test_loss=1.2354 | test_corr=(0.574, 0.231)
Epoch 65/1000 | time=1.382s | train_loss=1.201 | train_corr=(0.58, 0.232) | val_loss=1.1973 | val_corr=(0.574, 0.229) | test_loss=1.1945 | test_corr=(0.574, 0.232)
